station_id,latitude,longitude,elevation,state,name,gsn_flag,hcn_crn_flag,wmo_id,country_code
ACW00011604,17.1167,-61.7833,10.1,,ST JOHNS COOLIDGE FLD,,,,AC
ACW00011647,17.1333,-61.7833,19.2,,ST JOHNS,,,,AC
AE000041196,25.333,55.517,34.0,,SHARJAH INTER. AIRP,GSN,,41196.0,AE
AEM00041194,25.255,55.364,10.4,,DUBAI INTL,,,41194.0,AE
AEM00041217,24.433,54.651,26.8,,ABU DHABI INTL,,,41217.0,AE
AEM00041218,24.262,55.609,264.9,,AL AIN INTL,,,41218.0,AE
AF000040930,35.317,69.017,3366.0,,NORTH-SALANG,GSN,,40930.0,AF
AFM00040938,34.21,62.228,977.2,,HERAT,,,40938.0,AF
AFM00040948,34.566,69.212,1791.3,,KABUL INTL,,,40948.0,AF
AFM00040990,31.5,65.85,1010.0,,KANDAHAR AIRPORT,,,40990.0,AF
AG000060390,36.7167,3.25,24.0,,ALGER-DAR EL BEIDA,GSN,,60390.0,AG
AG000060590,30.5667,2.8667,397.0,,EL-GOLEA,GSN,,60590.0,AG
AG000060611,28.05,9.6331,561.0,,IN-AMENAS,GSN,,60611.0,AG
AG000060680,22.8,5.4331,1362.0,,TAMANRASSET,GSN,,60680.0,AG
AGE00135039,35.7297,0.65,50.0,,ORAN-HOPITAL MILITAIRE,,,,AG
AGE00147704,36.97,7.79,161.0,,ANNABA-CAP DE GARDE,,,,AG
AGE00147705,36.78,3.07,59.0,,ALGIERS-VILLE/UNIVERSITE,,,,AG
AGE00147706,36.8,3.03,344.0,,ALGIERS-BOUZAREAH,,,,AG
AGE00147707,36.8,3.04,38.0,,ALGIERS-CAP CAXINE,,,,AG
AGE00147708,36.72,4.05,222.0,,TIZI OUZOU,,,60395.0,AG
AGE00147709,36.63,4.2,942.0,,FORT NATIONAL,,,,AG
AGE00147710,36.75,5.1,9.0,,BEJAIA-BOUGIE (PORT),,,60401.0,AG
AGE00147711,36.3697,6.62,660.0,,CONSTANTINE,,,,AG
AGE00147712,36.17,1.34,112.0,,ORLEANSVILLE (CHLEF),,,,AG
AGE00147713,36.18,5.4,1081.0,,SETIF,,,,AG
AGE00147714,35.77,0.8,78.0,,ORAN-CAP FALCON,,,,AG
AGE00147715,35.42,8.1197,863.0,,TEBESSA,,,,AG
AGE00147716,35.1,-1.85,83.0,,NEMOURS (GHAZAOUET),,,60517.0,AG
AGE00147717,35.2,0.63,476.0,,SIDI-BEL-ABBES,,,,AG
AGE00147718,34.85,5.72,125.0,,BISKRA,,,60525.0,AG
AGE00147719,33.7997,2.89,767.0,,LAGHOUAT,,,60545.0,AG
AGE00147720,33.68,1.0,1320.0,,GERYVILLE (EL-BAYADH),,,,AG
AGE00147780,37.08,6.47,195.0,,SKIKDA-CAP BOUGAROUNI,,,,AG
AGE00147794,36.78,5.1,225.0,,BEJAIA-CAP CARBON,,,,AG
AGM00060351,36.795,5.874,11.0,,JIJEL,,,60351.0,AG
AGM00060353,36.817,5.883,6.0,,JIJEL-PORT,,,60353.0,AG
AGM00060355,36.933,6.95,7.0,,SKIKDA,,,60355.0,AG
AGM00060360,36.822,7.809,4.9,,ANNABA,,,60360.0,AG
AGM00060367,36.9,8.45,13.0,,EL-KALA,,,60367.0,AG
AGM00060369,36.767,3.1,12.0,,ALGER-PORT,,,60369.0,AG
AGM00060387,36.917,3.95,8.0,,DELLYS,,,60387.0,AG
AGM00060402,36.712,5.07,6.1,,SOUMMAM,,,60402.0,AG
AGM00060403,36.467,7.467,228.0,,GUELMA,,,60403.0,AG
AGM00060405,36.5,7.717,111.0,,BOUCHEGOUF,,,60405.0,AG
AGM00060410,36.5,1.333,18.0,,TENES,,,60410.0,AG
AGM00060415,36.317,3.533,748.0,,AIN-BESSAM,,,60415.0,AG
AGM00060417,36.383,3.883,560.0,,BOUIRA,,,60417.0,AG
AGM00060419,36.276,6.62,690.4,,MOHAMED BOUDIAF INTL,,,60419.0,AG
AGM00060421,35.867,7.117,891.0,,OUM EL BOUAGHI,,,60421.0,AG
AGM00060423,36.283,7.967,680.0,,SOUK AHRAS,,,60423.0,AG
AGM00060425,36.213,1.332,141.1,,ECH CHELIFF,,,60425.0,AG
AGM00060430,36.3,2.233,721.0,,MILIANA,,,60430.0,AG
AGM00060437,36.283,2.733,1036.0,,MEDEA,,,60437.0,AG
AGM00060444,36.067,4.767,930.0,,BORDJ-BOU-ARRERIDJ,,,60444.0,AG
AGM00060445,36.178,5.324,1050.0,,SETIF AIN ARNAT,,,60445.0,AG
AGM00060452,35.817,-0.267,4.0,,ARZEW,,,60452.0,AG
AGM00060457,35.883,0.117,138.0,,MOSTAGANEM,,,60457.0,AG
AGM00060461,35.7,-0.65,22.0,,ORAN-PORT,,,60461.0,AG
AGM00060467,35.667,4.5,442.0,,M'SILA,,,60467.0,AG
AGM00060468,35.55,6.183,1052.0,,BATNA,,,60468.0,AG
AGM00060471,35.333,5.333,461.0,,BARIKA,,,60471.0,AG
AGM00060475,35.432,8.121,811.1,,CHEIKH LARBI TEBESSI,,,60475.0,AG
AGM00060476,35.467,7.083,987.0,,KHENCHELLA,,,60476.0,AG
AGM00060490,35.624,-0.621,89.9,,ES SENIA,,,60490.0,AG
AGM00060506,35.6,0.3,476.0,,MASCARA-MATEMORE,,,60506.0,AG
AGM00060507,35.208,0.147,513.9,,GHRISS,,,60507.0,AG
AGM00060511,35.341,1.463,989.1,,BOU CHEKIF,,,60511.0,AG
AGM00060514,35.167,2.317,801.0,,KSAR CHELLALA,,,60514.0,AG
AGM00060515,35.333,4.206,459.0,,BOU SAADA,,,60515.0,AG
AGM00060518,35.3,-1.35,70.0,,BENI-SAF,,,60518.0,AG
AGM00060520,35.2,-0.617,476.0,,SIDI-BEL-ABBES,,,60520.0,AG
AGM00060522,34.82,-1.77,426.0,,MAGHNIA,,,60522.0,AG
AGM00060531,35.017,-1.45,248.1,,ZENATA,,,60531.0,AG
AGM00060535,34.683,3.25,1144.0,,DJELFA/TLETSI,,,60535.0,AG
AGM00060536,34.867,0.15,752.0,,SAIDA,,,60536.0,AG
AGM00060540,34.15,0.067,1001.0,,EL-KHEITER,,,60540.0,AG
AGM00060549,33.536,-0.242,1175.0,,MECHERIA,,,60549.0,AG
AGM00060550,33.667,1.0,1347.0,,EL-BAYADH,,,60550.0,AG
AGM00060555,33.068,6.089,85.0,,SIDI MAHDI,,,60555.0,AG
AGM00060557,33.267,-0.3,1166.0,,NAAMA,,,60557.0,AG
AGM00060559,33.511,6.777,61.9,,GUEMAR,,,60559.0,AG
AGM00060560,32.767,-0.6,1059.0,,AIN-SEFRA,,,60560.0,AG
AGM00060563,32.933,3.283,764.0,,HASSIR'MEL,,,60563.0,AG
AGM00060566,32.384,3.794,460.9,,NOUMERAT,,,60566.0,AG
AGM00060571,31.646,-2.27,811.1,,BECHAR,,,60571.0,AG
AGM00060580,31.917,5.413,150.0,,OUARGLA,,,60580.0,AG
AGM00060581,31.673,6.14,141.1,,OUED IRARA,,,60581.0,AG
